"satisfaction_level","last_evaluation","number_project","average_montly_hours","time_spend_company","Work_accident","left","promotion_last_5years","salary","salesaccounting","saleshr","salesIT","salesmanagement","salesmarketing","salesproduct_mng","salesRandD","salessales","salessupport","Y_A","Y_0","Y_1"
0.38,0.53,1,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0.37138998990082,0.37138998990082,0.0940618778577002
0.72,0.87,2,4,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0.773571467153302,0.773571467153302,0.29295497904707
0.37,0.52,1,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0.37138998990082,0.37138998990082,0.0940618778577002
0.41,0.5,1,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0.37138998990082,0.37138998990082,0.0940618778577002
0.1,0.77,2,4,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0.773571467153302,0.773571467153302,0.29295497904707
0.92,0.85,2,5,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0.865671437510836,0.865671437510836,0.640439027742057
0.89,1,2,4,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0.773571467153302,0.773571467153302,0.29295497904707
0.42,0.53,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0.665175704116469,0.665175704116469,0.109503193215924
0.45,0.54,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0.665175704116469,0.665175704116469,0.109503193215924
0.11,0.81,2,5,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0.865671437510836,0.865671437510836,0.640439027742057
0.84,0.92,1,4,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0.456413657054636,0.456413657054636,0.0961278968037783
0.41,0.55,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0.665175704116469,0.665175704116469,0.109503193215924
0.36,0.56,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0.665175704116469,0.665175704116469,0.109503193215924
0.38,0.54,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0.665175704116469,0.665175704116469,0.109503193215924
0.45,0.47,1,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0.37138998990082,0.37138998990082,0.0940618778577002
0.78,0.99,1,5,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0.457746647083458,0.457746647083458,0.209318209634987
0.76,0.89,2,5,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0.865671437510836,0.865671437510836,0.640439027742057
0.11,0.83,2,5,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0.865671437510836,0.865671437510836,0.640439027742057
0.38,0.55,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0.665175704116469,0.665175704116469,0.109503193215924
0.09,0.95,2,5,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0.865671437510836,0.865671437510836,0.640439027742057
0.46,0.57,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0.665175704116469,0.665175704116469,0.109503193215924
0.4,0.53,1,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0.37138998990082,0.37138998990082,0.0940618778577002
0.89,0.92,2,4,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0.773571467153302,0.773571467153302,0.29295497904707
0.82,0.87,1,4,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0.456413657054636,0.456413657054636,0.0961278968037783
0.4,0.49,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0.665175704116469,0.665175704116469,0.109503193215924
0.41,0.46,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0.617050871958479,0.617050871958479,0.445046499367227
0.38,0.5,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0.617050871958479,0.617050871958479,0.445046499367227
0.09,0.62,2,5,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0.861529335884314,0.861529335884314,0.646612444207024
0.45,0.57,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0.653514994521885,0.653514994521885,0.333485668523929
0.4,0.51,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0.653514994521885,0.653514994521885,0.333485668523929
0.45,0.55,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0.653514994521885,0.653514994521885,0.333485668523929
0.84,0.87,1,4,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0.541702717413262,0.541702717413262,0.113477700783205
0.1,0.94,2,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0.867900494111392,0.867900494111392,0.661122763486866
0.38,0.46,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.602073614124666,0.602073614124666,0.30569323985692
0.45,0.5,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.602073614124666,0.602073614124666,0.30569323985692
0.11,0.89,2,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0.867900494111392,0.867900494111392,0.661122763486866
0.41,0.54,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.298208754741296,0.298208754741296,0.19645930719459
0.87,0.88,2,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0.867900494111392,0.867900494111392,0.661122763486866
