"algorithm","cvrisk","coefficient"
"SL.glm_All",0.169788554319341,0
"SL.glmnet.0_All",0.169669471162731,0
"SL.glmnet.1_All",0.169510751816011,0
"SL.gam_All",0.153926380498301,0
"SL.xgboost_All",0.109193748641655,0.452101663457439
"SL.randomForest_All",0.123647282224202,0
"SL.rpartPrune_All",0.114522478655055,0.0296036066508459
"SL.polymars_All",0.109768154096104,0.351350242568738
"SL.nnet.2_All",0.244545687373913,0.0377317469885017
"SL.nnet.3_All",0.158501625219259,0.010507127318567
"SL.nnet.4_All",0.148291574980491,0
"SL.nnet.5_All",0.208073506025008,0
"SL.nnet.6_All",0.146270966838193,0.011212311721391
"SL.knn.10_All",0.112321656964275,0.0897473887428639
"SL.knn.15_All",0.114309392317611,0.0177459125516543
"SL.knn.20_All",0.116621625815841,0
"SL.knn.25_All",0.118138381554703,0
"SL.mean_All",0.197730258346756,0
